 # l_c   lmin  lmax   D_l      +dD_l     -dD_l
 225.0   225   225  5775.158   426.204   389.904
 226.0   226   226  5793.558   427.004   391.004
 227.0   227   227  6149.761   452.405   413.604
 228.0   228   228  5609.056   410.204   375.204
 229.0   229   229  5228.152   385.504   352.604
 230.0   230   230  5559.556   402.504   368.804
 231.0   231   231  5935.459   432.604   395.804
 232.0   232   232  5738.657   418.004   382.704
 233.0   233   233  6077.761   441.204   403.304
 234.0   234   234  5081.551   374.604   346.103
 235.0   235   235  6116.061   440.304   405.404
 236.0   236   236  6174.262   441.404   406.004
 237.0   237   237  5487.455   395.204   362.504
 238.0   238   238  5677.057   409.204   375.704
 239.0   239   239  5667.257   405.604   372.204
 240.0   240   240  5954.260   424.804   389.004
 241.0   241   241  5799.058   408.504   375.504
 242.0   242   242  5407.754   385.704   354.204
 243.0   243   243  5454.555   389.604   357.104
 244.0   244   244  5498.655   391.404   359.404
 245.0   245   245  6384.664   447.304   411.104
 246.0   246   246  5608.556   396.004   363.904
 247.0   247   247  5801.758   407.104   374.304
 248.0   248   248  5800.658   409.404   374.904
 249.0   249   249  4875.049   344.703   316.503
 250.0   250   250  5458.955   382.804   351.504
