  # ell             TT              EE              BB               TE 
  269   0.5036108E+04   0.4351569E+01   0.2751765E-01   0.9157269E+02
  270   0.5009548E+04   0.4476619E+01   0.2770607E-01   0.9287029E+02
  271   0.4982612E+04   0.4603842E+01   0.2788173E-01   0.9414433E+02
  272   0.4955312E+04   0.4733141E+01   0.2806287E-01   0.9539439E+02
  273   0.4927646E+04   0.4864585E+01   0.2824304E-01   0.9661988E+02
  274   0.4899641E+04   0.4998139E+01   0.2841986E-01   0.9781998E+02
  275   0.4871287E+04   0.5133645E+01   0.2860008E-01   0.9899447E+02
  276   0.4842611E+04   0.5271341E+01   0.2877655E-01   0.1001423E+03
  277   0.4813609E+04   0.5410974E+01   0.2895387E-01   0.1012632E+03
  278   0.4784298E+04   0.5552636E+01   0.2913079E-01   0.1023563E+03
  279   0.4754684E+04   0.5696290E+01   0.2930609E-01   0.1034214E+03
  280   0.4724778E+04   0.5841849E+01   0.2948025E-01   0.1044575E+03
  281   0.4694588E+04   0.5989464E+01   0.2965392E-01   0.1054642E+03
  282   0.4664128E+04   0.6139016E+01   0.2982722E-01   0.1064408E+03
  283   0.4633395E+04   0.6290433E+01   0.3000069E-01   0.1073866E+03
  284   0.4602408E+04   0.6443629E+01   0.3017213E-01   0.1083017E+03
  285   0.4571185E+04   0.6598805E+01   0.3034279E-01   0.1091853E+03
  286   0.4539724E+04   0.6755675E+01   0.3051359E-01   0.1100373E+03
  287   0.4508050E+04   0.6914318E+01   0.3068345E-01   0.1108571E+03
  288   0.4476150E+04   0.7074620E+01   0.3085239E-01   0.1116446E+03
  289   0.4444047E+04   0.7236560E+01   0.3102072E-01   0.1123994E+03
  290   0.4411768E+04   0.7400086E+01   0.3118775E-01   0.1131210E+03
  291   0.4379302E+04   0.7565196E+01   0.3135497E-01   0.1138092E+03
  292   0.4346668E+04   0.7731792E+01   0.3152081E-01   0.1144637E+03
  293   0.4313875E+04   0.7899870E+01   0.3168572E-01   0.1150840E+03
  294   0.4280934E+04   0.8069327E+01   0.3185006E-01   0.1156697E+03
  295   0.4247852E+04   0.8240166E+01   0.3201438E-01   0.1162208E+03
  296   0.4214651E+04   0.8412327E+01   0.3217670E-01   0.1167367E+03
  297   0.4181320E+04   0.8585757E+01   0.3233912E-01   0.1172171E+03
  298   0.4147903E+04   0.8760445E+01   0.3250032E-01   0.1176615E+03
  299   0.4114370E+04   0.8936306E+01   0.3266072E-01   0.1180697E+03
  300   0.4080771E+04   0.9113321E+01   0.3282112E-01   0.1184415E+03
  301   0.4047086E+04   0.9291365E+01   0.3297953E-01   0.1187763E+03
  302   0.4013344E+04   0.9470491E+01   0.3313685E-01   0.1190739E+03
  303   0.3979550E+04   0.9650720E+01   0.3329460E-01   0.1193341E+03
  304   0.3945709E+04   0.9831777E+01   0.3345115E-01   0.1195562E+03
  305   0.3911835E+04   0.1001373E+02   0.3360626E-01   0.1197406E+03
  306   0.3877945E+04   0.1019655E+02   0.3376047E-01   0.1198870E+03
  307   0.3844039E+04   0.1038022E+02   0.3391378E-01   0.1199956E+03
  308   0.3810135E+04   0.1056448E+02   0.3406725E-01   0.1200662E+03
  309   0.3776236E+04   0.1074943E+02   0.3421996E-01   0.1200990E+03
  310   0.3742353E+04   0.1093473E+02   0.3437045E-01   0.1200941E+03
  311   0.3708500E+04   0.1112078E+02   0.3451894E-01   0.1200512E+03
